product_id,title,product_description,features_summary,features
6384115,"Viking - Professional 5 Series 27"" Built-In Single Electric Convection Oven - Cast Black","Shop Viking Professional 5 Series 27"" Built-In Single Electric Convection Oven Cast Black at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.","Cook up memorable meals with this 27-inch Viking electric oven. An 8.5-inch convection fan can be turned in either direction for ample airflow, while TruConvec technology ensures even heat distribution for delicious meals. The three halogen lights in this Viking electric oven enhance visibility, and large commercial-type knobs and bezels offer easy operation and cleanup.","TruConvec convection utilizes a 3rd hidden element and a fan to improve air circulation.,Conveniently eliminates the need to scrub by doing the cleaning for you.,Provides plenty of space to cook large meals for your entire family.,Feature handles for easy access and can be placed in 6 positions to accommodate a variety of cookware.,Helps maximize interior space."
6384094,"Viking - Professional 5 Series 30"" Built-In Double Electric Convection Wall Oven - Damascus Gray","Shop Viking Professional 5 Series 30"" Built-In Double Electric Convection Wall Oven Damascus Gray at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.",Roast entrees and bake desserts with this Viking 30-inch electric double wall oven. The Vari-Speed Dual Flow convection systems use two-speed fans to maximize airflow and heat distribution to ensure food is cooked evenly. This Viking 30-inch electric double wall oven has 10-pass dual bake elements that heat up quickly and maintain steady temperatures.,"TruConvec convection utilizes a 3rd hidden element and a fan to improve air circulation.,Conveniently eliminates the need to scrub by doing the cleaning for you.,4.7 cu. ft. capacity in the upper and lower ovens.,Feature handles for easy access and can be placed in 6 positions to accommodate a variety of cookware.,Helps maximize interior space."
8964063,Mind Reader - Coffee Pod Drawer - Gray,Shop Mind Reader Coffee Pod Drawer Gray at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.,Save space on your home or work countertop with this Mind Reader TRY26-GRY coffee pod drawer that stores up to 36 K-Cups or 42 CBTL\u002FVerismo pods. The chrome handle adds a touch of style and provides easy access.,"To keep your kitchen space organized.,Fits directly underneath your coffee machine to provide storage and optimize space.,Delivers a stylish design and enables simple access to your pods."
1582375,Metra - Dash Kit for Select 2006-2013 BMW 3 DDIN - Black,Shop Metra Dash Kit for Select 2006-2013 BMW 3 DDIN Black at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.,This kit allows for the easy upgrade of your BMW 3-Series vehicle's sound system with the installation of an aftermarket radio.,"\u003Cb\u003EFrom our expanded online assortment; not available in all Best Buy stores\u003C\u002Fb\u003E,For a customized fit.,For a replacement or upgrade radio. Designed specifically for double-DIN components.,Offers durability."
5803736,Metra - Speaker Bracket for Select 2015-2023 Ford Transit - Black,Shop Metra Speaker Bracket for Select 2015-2023 Ford Transit Black at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.,Rev up your Ford Transit's sound system with this Transit speaker adapter kit. The set of two adapters works with model years 2016 and up to incorporate new speakers with a seamless fit. This Transit speaker adapter kit mounts 6-to-6.75-inch speakers into the rear doors or sides of your van.,"For use in your existing vehicle.,Allows you to install modern speakers into the rear doors or rear sides of your vehicle.,To meet your needs."
6342842,Microsoft - Xbox $100 Gift Card [Digital],Shop Microsoft Xbox $100 Gift Card [Digital] at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.,"Buy an Xbox Gift Card for yourself or a friend to get great games and entertainment on Xbox consoles and Windows PCs. Choose from hundreds of games, from AAA to indie, and play the day they’re released with a Game Pass membership. Extend the experience in your favorite games with add-ons and in-game currency. Browse a massive library of new and popular movies and TV shows to rent or buy. Xbox Gift Cards are easy to use, never expire, and give the freedom to pick the gift they want. Enjoy more ways to play without a credit card attached to your Microsoft account.","With an Xbox Gift Card, you can buy full digital game downloads, game add-ons, in-game currency, memberships, devices, apps, movies, TV shows, and more.,Buy the digital version of a game and download it from the comfort of your couch. With an Xbox Gift Card, you have the flexibility to shop for thousands of games like Halo Infinite and Forza Horizon 5, available for download.,Start playing the moment your most anticipated game is available when you pre-order and pre-download it with Xbox One or Xbox Series X|S. Use an Xbox Gift Card to digitally pre-order and pre-download new games like Minecraft Legends you can’t wait to play.,Keep enjoying your favorite Xbox games with game add-ons like Forza Horizon 5 Premium Add-ons Bundle, plus add-ons such as new characters, storylines, and more! Discover new worlds, abilities, and in-game gear.,Get the most from your experience when you use an Xbox Gift Card to purchase add-ons individually or bundled together as a Season Pass.,Get upgrades, other purchases, and enhance your gameplay with in-game currency like Halo Credits. Some games use in-game currency to accelerate your progress, elevate your gaming experience, and get you deeper into the game.,Add virtual currency using an Xbox Gift Card and take your game to the next level.,Find new favorites or enjoy a classic with movies and TV shows on Xbox consoles or Windows to watch at home or on the go. Rent or buy the latest movies and TV shows virtually anywhere you go by picking up an Xbox Gift Card.,Get a new Xbox bundle or load up on accessories like the Xbox Wireless Controller or Xbox Wireless Headset.,*Important Information:,Works with Xbox One, Xbox Series X|S, and Windows PCs and tablets. Valid for eligible purchases (exclusions apply) at select Xbox and Microsoft online stores; product\u002Ffeature availability varies by geography. Microsoft account required. Terms and country restrictions apply (microsoft.com\u002Fcardterms).,2022 WBEI. BLACK ADAM and all related characters and elements are trademarks of DC."
6455042,"DCS by Fisher & Paykel - 48"" Series 7 Grill with Integrated Side Burners, Natural Gas - Brushed Stainless Steel","Shop DCS by Fisher & Paykel 48"" Series 7 Grill with Integrated Side Burners, Natural Gas Brushed Stainless Steel at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.","Designed with flexibility in mind, DCS Grills allow you to cook a wide variety of meals and are engineered to deliver the functionality and power demanded by a professional chef. DCS Grills are hand-finished to perfection to complement the quality of the DCS premium outdoor kitchen and built to withstand the demands of the serious cook and the extremes of mother nature. Available in Natural and LP Gas.","A DCS Grill puts you in control of up to a massive 121,500 BTU per hour total power. That power lets you choose the precise heat you need from a low and slow 300-degrees up to an intense 1100-degrees.,One side has a gentle radius for handling delicate foods. The other side is W-shaped for perfect sear lines while channeling oil away to an easily removable drip tray.,This patented technology reduces flare-ups by directing grease and oils away from the burner flames during grilling.,A halogen light is designed to illuminate the entire cooking surface for perfect night grilling.,Go from zero to sear with DCS Grills’ new built-in temperature gauge. It lets you know exactly how hot the grill is, even when the hood is down."
8950406,"Viking - Wall Hood Backsplash for 48"" Hood - Stainless Steel","Shop Viking Wall Hood Backsplash for 48"" Hood Stainless Steel at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.",The backsplash is used to cover the wall space between the top of the backguard or high shelf and the bottom of the hood.,"Included 48"" wall hoods.,Protects the wall from splashes"
6025100,Viper - DS4VB Remote Start System - Installation Included - Black,Shop Viper DS4VB Remote Start System Installation Included Black at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.,"Control your vehicle remotely with this Viper DS4+ remote start system. The Bluetooth connectivity of the DS4 module provides wireless programming and control with a smartphone, and it includes a temperature sensor to detect when the engine heats up sufficiently. This upgradeable Viper DS4+ remote start system works with your OEM remote thanks to its 3x lock start support.","Start your engine with the push of a button.,Lets you start your engine remotely, so you can get into a warm car in the cold winter or cool your car in the hot summer.,Unlock your vehicle's doors with your key chain remote.,Provides wireless programming and control.,You can expand your system with a long-range remote control, SmartStart control and GPS or security shock\u002F tilt sensor for more convenient use.  Additional fees apply.*,This feature is available via Bluetooth Smart technology which works up to 150 feet away from vehicle and the free Directed SmartStart mobile app, downloadable from the App Store or Google Play.*,* Global range requires a Service Plan and a Viper SmartStart Pro or Viper Connect (sold separately).,*Operating range is based on line-of-sight and unobstructed testing in ideal conditions. Actual range will vary due to local conditions, including but not limited to environment, terrain, physical obstructions, vehicle location and orientation, interference, and other possible impediments."
5707768,Vitamix - Ascent A2300 Blender - Black,Shop Vitamix Ascent A2300 Blender Black at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.,"With a sleek and stylish appearance from every angle, the Vitamix® A2300 blender in Black features Variable Speed Control and Pulse to create every texture. The machine features many new conveniences, including a built-in digital timer to help you monitor each blend and achieve perfect results every time.","The Variable Speed Control lets you manually fine-tune the texture of any recipe,With the Pulse feature, layer coarse chops over smooth purées for heartier recipes, such as chunky pasta sauce or thick vegetable soups.,A built-in digital timer removes the guesswork with recipes you process manually, helping you achieve the perfect texture every time.,The motor base to automatically adjust the maximum blending times for the container size you’ve chosen.,Add a range of compatible container sizes, building a customized blending system designed to fit your needs."
